financialData	numberOfStartups	typeofFinancialData
360395.00	506.00	GDP (Millions)
173908.00	237.00	GDP (Millions)
1358416.00	272.00	GDP (Millions)
336232.00	158.00	GDP (Millions)
765759.00	105.00	GDP (Millions)
360400.00	41.00	GDP (Millions)
258819.00	56.00	GDP (Millions)
18.03	9.00	GDP (Millions)
448741.00	77.00	GDP (Millions)
571008.00	57.00	GDP (Millions)
103200.00	58.00	GDP (Millions)
71451.00	16.00	GDP (Millions)
167886.00	26.00	GDP (Millions)
294589.00	32.00	GDP (Millions)
210900.00	46.00	GDP (Millions)
177410.00	31.00	GDP (Millions)
209523.00	12.00	GDP (Millions)
420340.00	21.00	GDP (Millions)
364009.00	32.00	GDP (Millions)
123577.00	35.00	GDP (Millions)
430352.1916	506	Per Capita GDP
174162.8002	237	Per Capita GDP
161603.895	272	Per Capita GDP
520510.3674	158.00	Per Capita GDP
197141.7295	105.00	Per Capita GDP
887131.9104	41.00	Per Capita GDP
396715.2306	56.00	Per Capita GDP
155.0460925	9.00	Per Capita GDP
694163.0353	77.00	Per Capita GDP
210023.459	57.00	Per Capita GDP
116557.4881	58.00	Per Capita GDP
373736.7926	16.00	Per Capita GDP
258486.9783	26.00	Per Capita GDP
657798.1918	32.00	Per Capita GDP
611283.0858	46.00	Per Capita GDP
130843.3685	31.00	Per Capita GDP
138448.2416	12.00	Per Capita GDP
334219.6241	21.00	Per Capita GDP
234365.956	32.00	Per Capita GDP
404056.3561	35.00	Per Capita GDP
