financialData	numberOfStartups	typeofFinancialData
72604.00	506.00	Median Household Income
81829.00	237.00	Median Household Income
52259.00	272.00	Median Household Income
53601.00	158.00	Median Household Income
49497.00	105.00	Median Household Income
52583.00	41.00	Median Household Income
65277.00	56.00	Median Household Income
39688.00	9.00	Median Household Income
65830.00	77.00	Median Household Income
47270.00	57.00	Median Household Income
53946.00	58.00	Median Household Income
45862.00	16.00	Median Household Income
50313.00	26.00	Median Household Income
46631.00	32.00	Median Household Income
75422.00	46.00	Median Household Income
63857.00	31.00	Median Household Income
47139.00	12.00	Median Household Income
42846.00	21.00	Median Household Income
37192.00	32.00	Median Household Income
39195.00	35.00	Median Household Income
48486.00	506.00	Per Capita Income
34025.00	237.00	Per Capita Income
32010.00	272.00	Per Capita Income
33964.00	158.00	Per Capita Income
27829.00	105.00	Per Capita Income
31971.00	41.00	Per Capita Income
43237.00	56.00	Per Capita Income
16977.00	9.00	Per Capita Income
45290.00	77.00	Per Capita Income
28436.00	57.00	Per Capita Income
31990.00	58.00	Per Capita Income
28137.00	16.00	Per Capita Income
33251.00	26.00	Per Capita Income
35890.00	32.00	Per Capita Income
34057.00	46.00	Per Capita Income
30955.00	31.00	Per Capita Income
23812.00	12.00	Per Capita Income
27426.00	21.00	Per Capita Income
22279.00	32.00	Per Capita Income
26892.00	35.00	Per Capita Income
